Cell_type.x,Gene_symbol.x,Gene_id,Cell.Type,DOI,gene,Tissue_type_PO,Cell_type.y,Gene_symbol.y,Marker_resource
leaf mesophyll,AT2G32650,AT2G32650,NA,NA,AT2G32650,PO0025034,leaf mesophyll,AT2G32650,scRNA-seq
leaf mesophyll,AT2G33370,AT2G33370,NA,NA,RPL23A,PO0025034,leaf mesophyll,AT2G33370,scRNA-seq
leaf mesophyll,PRPL28,AT2G33450,NA,NA,RPL28,PO0025034,leaf mesophyll,PRPL28,scRNA-seq
leaf mesophyll,LHB1B2,AT2G34420,NA,NA,LHB1B2,PO0025034,leaf mesophyll,LHB1B2,scRNA-seq
leaf mesophyll,LHB1B1,AT2G34430,NA,NA,LHB1B1,PO0025034,leaf mesophyll,LHB1B1,scRNA-seq
leaf mesophyll,LHB1B1,AT2G34430,NA,NA,LHB1B1,PO0025034,leaf,LHB1B1,Bulk RNA-seq
leaf mesophyll,AT2G34460,AT2G34460,NA,NA,AT2G34460,PO0025034,leaf mesophyll,AT2G34460,scRNA-seq
leaf mesophyll,AT2G34480,AT2G34480,NA,NA,AT2G34480,PO0025034,leaf mesophyll,AT2G34480,scRNA-seq
leaf mesophyll,GDCH,AT2G35370,NA,NA,GDH1,PO0025034,leaf mesophyll,GDCH,scRNA-seq
leaf mesophyll,AT2G35410,AT2G35410,NA,NA,AT2G35410,PO0025034,leaf mesophyll,AT2G35410,scRNA-seq
leaf mesophyll,AT2G36145,AT2G36145,Mesophyll cell,10.1093/plcell/koaa060,AT2G36145,PO0025034,leaf mesophyll,AT2G36145,scRNA-seq
leaf mesophyll,AT2G36160,AT2G36160,NA,NA,RPS14A,PO0025034,leaf mesophyll,AT2G36160,scRNA-seq
leaf mesophyll,RPL24A,AT2G36620,NA,NA,RPL24A,PO0025034,leaf mesophyll,RPL24A,scRNA-seq
leaf mesophyll,AT2G36835,AT2G36835,NA,NA,AT2G36835,PO0025034,leaf mesophyll,AT2G36835,scRNA-seq
leaf mesophyll,AT2G36895,AT2G36895,Mesophyll cell,10.1093/plcell/koaa060,AT2G36895,PO0025034,leaf mesophyll,AT2G36895,scRNA-seq
leaf mesophyll,RPS5B,AT2G37270,NA,NA,RPS5A,PO0025034,leaf mesophyll,RPS5B,scRNA-seq
leaf mesophyll,AT2G37600,AT2G37600,NA,NA,RPL36A,PO0025034,leaf mesophyll,AT2G37600,scRNA-seq
leaf mesophyll,PSRP4,AT2G38140,NA,NA,RPS31,PO0025034,leaf mesophyll,PSRP4,scRNA-seq
leaf mesophyll,PnsL1,AT2G39470,Mesophyll cell,10.1038/nature13919,PNSL1,PO0025034,leaf mesophyll,PnsL1,scRNA-seq
leaf mesophyll,PnsL1,AT2G39470,Mesophyll cell,10.1038/nature13919,PNSL1,PO0025034,leaf,PnsL1,Bulk RNA-seq
leaf mesophyll,PnsL1,AT2G39470,Mesophyll cell,10.1093/plcell/koaa060,PNSL1,PO0025034,leaf mesophyll,PnsL1,scRNA-seq
leaf mesophyll,PnsL1,AT2G39470,Mesophyll cell,10.1093/plcell/koaa060,PNSL1,PO0025034,leaf,PnsL1,Bulk RNA-seq
leaf mesophyll,LHCB4.3,AT2G40100,Mesophyll cell,10.1093/plcell/koaa060,LHCB4.3,PO0025034,leaf mesophyll,LHCB4.3,scRNA-seq
leaf mesophyll,AT2G43030,AT2G43030,NA,NA,RPL3A,PO0025034,leaf mesophyll,AT2G43030,scRNA-seq
leaf mesophyll,AT2G43030,AT2G43030,NA,NA,RPL3A,PO0025034,leaf mesophyll,AT2G43030,Bulk RNA-seq
leaf mesophyll,AT2G43460,AT2G43460,NA,NA,RPL38A,PO0025034,leaf mesophyll,AT2G43460,scRNA-seq
leaf mesophyll,AT2G43560,AT2G43560,NA,NA,FKBP16-3,PO0025034,leaf mesophyll,AT2G43560,scRNA-seq
leaf mesophyll,CHL-CPN10,AT2G44650,NA,NA,CPN10-2,PO0025034,leaf mesophyll,CHL-CPN10,scRNA-seq
leaf mesophyll,AT2G44920,AT2G44920,NA,NA,AT2G44920,PO0025034,leaf mesophyll,AT2G44920,scRNA-seq
leaf mesophyll,AT2G44920,AT2G44920,NA,NA,AT2G44920,PO0025034,leaf,AT2G44920,Bulk RNA-seq
leaf mesophyll,PSI-P,AT2G46820,NA,NA,CURT1B,PO0025034,leaf mesophyll,PSI-P,scRNA-seq
leaf mesophyll,PSI-P,AT2G46820,NA,NA,CURT1B,PO0025034,leaf,PSI-P,Bulk RNA-seq
leaf mesophyll,AT2G46910,AT2G46910,Mesophyll cell,10.1093/plcell/koaa060,PAP10,PO0025034,leaf mesophyll,AT2G46910,scRNA-seq
leaf mesophyll,RPH1,AT2G48070,NA,NA,RPH1,PO0025034,leaf mesophyll,RPH1,scRNA-seq
leaf mesophyll,AT3G02080,AT3G02080,NA,NA,RPS19A,PO0025034,leaf mesophyll,AT3G02080,scRNA-seq
leaf mesophyll,AT3G02560,AT3G02560,NA,NA,RPS7B,PO0025034,leaf mesophyll,AT3G02560,scRNA-seq
leaf mesophyll,SAUR29,AT3G03820,NA,NA,AT3G03820,PO0025034,leaf mesophyll,SAUR29,scRNA-seq
leaf mesophyll,emb2171,AT3G04400,NA,NA,RPL23A,PO0025034,leaf mesophyll,emb2171,scRNA-seq
leaf mesophyll,AT3G04840,AT3G04840,NA,NA,RPS3AA,PO0025034,leaf mesophyll,AT3G04840,scRNA-seq
leaf mesophyll,AT3G05936,AT3G05936,Mesophyll cell,10.1093/plcell/koaa060,AT3G05936,PO0025034,leaf mesophyll,AT3G05936,scRNA-seq
leaf mesophyll,AT3G06145,AT3G06145,Mesophyll cell,10.1093/plcell/koaa060,AT3G06145,PO0025034,leaf mesophyll,AT3G06145,scRNA-seq
leaf mesophyll,AT3G06680,AT3G06680,NA,NA,AT3G06680,PO0025034,leaf mesophyll,AT3G06680,scRNA-seq
leaf mesophyll,AT3G06700,AT3G06700,NA,NA,RPL29A,PO0025034,leaf mesophyll,AT3G06700,scRNA-seq
leaf mesophyll,AT3G07110,AT3G07110,NA,NA,AT3G07110,PO0025034,leaf mesophyll,AT3G07110,scRNA-seq
leaf mesophyll,AT3G08740,AT3G08740,NA,NA,AT3G08740,PO0025034,leaf mesophyll,AT3G08740,scRNA-seq
leaf mesophyll,AT3G09200,AT3G09200,NA,NA,RPP0B,PO0025034,leaf mesophyll,AT3G09200,scRNA-seq
leaf mesophyll,AT3G09500,AT3G09500,NA,NA,RPL35A,PO0025034,leaf mesophyll,AT3G09500,scRNA-seq
leaf mesophyll,LBD21,AT3G11090,Mesophyll cell,10.1038/nature13919,LBD21,PO0025034,leaf mesophyll,LBD21,scRNA-seq
leaf mesophyll,LBD21,AT3G11090,Vasculature,10.1093/plcell/koaa060,LBD21,PO0025034,leaf mesophyll,LBD21,scRNA-seq
leaf mesophyll,AT3G11630,AT3G11630,NA,NA,BAS1,PO0025034,leaf mesophyll,AT3G11630,scRNA-seq
leaf mesophyll,AT3G12685,AT3G12685,Mesophyll cell,10.1093/plcell/koaa060,AT3G12685,PO0025034,leaf mesophyll,AT3G12685,scRNA-seq
leaf mesophyll,,AT3G12965,NA,NA,AT3G12965,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,AT3G13120,AT3G13120,NA,NA,RPS10,PO0025034,leaf mesophyll,AT3G13120,scRNA-seq
leaf mesophyll,TRX-M4,AT3G15360,NA,NA,ATHM4,PO0025034,leaf mesophyll,TRX-M4,scRNA-seq
leaf mesophyll,AT3G15780,AT3G15780,NA,NA,AT3G15780,PO0025034,leaf mesophyll,AT3G15780,scRNA-seq
leaf mesophyll,AT3G15900,AT3G15900,Mesophyll cell,10.1093/plcell/koaa060,AT3G15900,PO0025034,leaf mesophyll,AT3G15900,scRNA-seq
leaf mesophyll,AT3G16080,AT3G16080,NA,NA,RPL37C,PO0025034,leaf mesophyll,AT3G16080,scRNA-seq
leaf mesophyll,PSAH-1,AT3G16140,NA,NA,PSAH1,PO0025034,leaf mesophyll,PSAH-1,scRNA-seq
leaf mesophyll,PSAH-1,AT3G16140,NA,NA,PSAH1,PO0025034,leaf,PSAH-1,Bulk RNA-seq
leaf mesophyll,PSAH-1,AT3G16140,NA,NA,PSAH1,PO0025034,leaf mesophyll,PSAH-1,Bulk RNA-seq
leaf mesophyll,RLK902,AT3G18740,NA,NA,RPL30C,PO0025034,leaf mesophyll,RLK902,scRNA-seq
leaf mesophyll,CYCP2;1,AT3G21870,Mesophyll cell,10.1093/plcell/koaa060,CYCU1-1,PO0025034,leaf mesophyll,CYCP2;1,scRNA-seq
leaf mesophyll,AT3G23325,AT3G23325,NA,NA,AT3G23325,PO0025034,leaf mesophyll,AT3G23325,scRNA-seq
leaf mesophyll,AT3G25805,AT3G25805,Mesophyll cell,10.1093/plcell/koaa060,AT3G25805,PO0025034,leaf mesophyll,AT3G25805,scRNA-seq
leaf mesophyll,RPL15,AT3G25920,NA,NA,RPL15,PO0025034,leaf mesophyll,RPL15,scRNA-seq
leaf mesophyll,AT3G26070,AT3G26070,NA,NA,PAP4,PO0025034,leaf mesophyll,AT3G26070,scRNA-seq
leaf mesophyll,GHS1,AT3G27160,NA,NA,GHS1,PO0025034,leaf mesophyll,GHS1,scRNA-seq
leaf mesophyll,LHCB2.3,AT3G27690,NA,NA,LHCB2.4,PO0025034,leaf mesophyll,LHCB2.3,scRNA-seq
leaf mesophyll,LHCB2.3,AT3G27690,NA,NA,LHCB2.4,PO0025034,leaf,LHCB2.3,Bulk RNA-seq
leaf mesophyll,LHCB2.3,AT3G27690,NA,NA,LHCB2.4,PO0025034,leaf mesophyll,LHCB2.3,Bulk RNA-seq
leaf mesophyll,AT3G28900,AT3G28900,NA,NA,RPL34C,PO0025034,leaf mesophyll,AT3G28900,scRNA-seq
leaf mesophyll,AT3G32930,AT3G32930,NA,NA,AT3G32930,PO0025034,leaf mesophyll,AT3G32930,scRNA-seq
leaf mesophyll,AT3G44020,AT3G44020,Mesophyll cell,10.1093/plcell/koaa060,AT3G44020,PO0025034,leaf mesophyll,AT3G44020,scRNA-seq
leaf mesophyll,RPL9,AT3G44890,NA,NA,RPL9,PO0025034,leaf mesophyll,RPL9,scRNA-seq
leaf mesophyll,XTH31,AT3G44990,Mesophyll cell,10.1038/nature13919,XTH31,PO0025034,leaf mesophyll,XTH31,scRNA-seq
leaf mesophyll,AT3G45030,AT3G45030,NA,NA,RPS20C,PO0025034,leaf mesophyll,AT3G45030,scRNA-seq
leaf mesophyll,AT3G45050,AT3G45050,NA,NA,AT3G45050,PO0025034,leaf mesophyll,AT3G45050,scRNA-seq
leaf mesophyll,AT3G46630,AT3G46630,Mesophyll cell,10.1093/plcell/koaa060,AT3G46630,PO0025034,leaf mesophyll,AT3G46630,scRNA-seq
leaf mesophyll,AT3G47070,AT3G47070,NA,NA,AT3G47070,PO0025034,leaf mesophyll,AT3G47070,scRNA-seq
leaf mesophyll,PEX11B,AT3G47430,Mesophyll cell,10.1038/nature13919,PEX11B,PO0025034,leaf mesophyll,PEX11B,scRNA-seq
leaf mesophyll,PEX11B,AT3G47430,Mesophyll cell,10.1093/plcell/koaa060,PEX11B,PO0025034,leaf mesophyll,PEX11B,scRNA-seq
leaf mesophyll,AT3G47650,AT3G47650,NA,NA,AT3G47650,PO0025034,leaf mesophyll,AT3G47650,scRNA-seq
leaf mesophyll,AT3G48420,AT3G48420,Mesophyll cell,10.1038/nature13919,CBBY,PO0025034,leaf mesophyll,AT3G48420,scRNA-seq
leaf mesophyll,AT3G48420,AT3G48420,Mesophyll cell,10.1038/nature13919,CBBY,PO0025034,leaf mesophyll,AT3G48420,Bulk RNA-seq
leaf mesophyll,AT3G48420,AT3G48420,Mesophyll cell,10.1093/plcell/koaa060,CBBY,PO0025034,leaf mesophyll,AT3G48420,scRNA-seq
leaf mesophyll,AT3G48420,AT3G48420,Mesophyll cell,10.1093/plcell/koaa060,CBBY,PO0025034,leaf mesophyll,AT3G48420,Bulk RNA-seq
leaf mesophyll,AT3G50685,AT3G50685,NA,NA,AT3G50685,PO0025034,leaf mesophyll,AT3G50685,scRNA-seq
leaf mesophyll,PSRP2,AT3G52150,NA,NA,PSRP2,PO0025034,leaf mesophyll,PSRP2,scRNA-seq
leaf mesophyll,AT3G52230,AT3G52230,NA,NA,AT3G52230,PO0025034,leaf mesophyll,AT3G52230,scRNA-seq
leaf mesophyll,UBQ1,AT3G52590,NA,NA,RPL40B,PO0025034,leaf mesophyll,UBQ1,scRNA-seq
leaf mesophyll,AT3G53470,AT3G53470,NA,NA,AT3G53470,PO0025034,leaf mesophyll,AT3G53470,scRNA-seq
leaf mesophyll,AT3G53890,AT3G53890,NA,NA,RPS21B,PO0025034,leaf mesophyll,AT3G53890,scRNA-seq
leaf mesophyll,ROC2,AT3G56070,NA,NA,CYP19-3,PO0025034,leaf mesophyll,ROC2,scRNA-seq
leaf mesophyll,AT3G56290,AT3G56290,Mesophyll cell,10.1093/plcell/koaa060,AT3G56290,PO0025034,leaf mesophyll,AT3G56290,scRNA-seq
leaf mesophyll,AT3G56290,AT3G56290,Mesophyll cell,10.1093/plcell/koaa060,AT3G56290,PO0025034,leaf mesophyll,AT3G56290,Bulk RNA-seq
leaf mesophyll,AT3G56340,AT3G56340,NA,NA,RPS26C,PO0025034,leaf mesophyll,AT3G56340,scRNA-seq
leaf mesophyll,PPD6,AT3G56650,Mesophyll cell,10.1093/plcell/koaa060,PPD6,PO0025034,leaf mesophyll,PPD6,scRNA-seq
leaf mesophyll,PSRP5,AT3G56910,NA,NA,PSRP5,PO0025034,leaf mesophyll,PSRP5,scRNA-seq
leaf mesophyll,AT3G59540,AT3G59540,NA,NA,RPL38A,PO0025034,leaf mesophyll,AT3G59540,scRNA-seq
leaf mesophyll,AT3G59980,AT3G59980,Mesophyll cell,10.1093/plcell/koaa060,AT3G59980,PO0025034,leaf mesophyll,AT3G59980,scRNA-seq
leaf mesophyll,AT3G60210,AT3G60210,Mesophyll cell,10.1093/plcell/koaa060,CPN10-1,PO0025034,leaf mesophyll,AT3G60210,scRNA-seq
leaf mesophyll,AT3G60245,AT3G60245,NA,NA,RPL37AC,PO0025034,leaf mesophyll,AT3G60245,scRNA-seq
leaf mesophyll,AT3G60770,AT3G60770,NA,NA,RPS13A,PO0025034,leaf mesophyll,AT3G60770,scRNA-seq
leaf mesophyll,ROC4,AT3G62030,NA,NA,ROC4,PO0025034,leaf mesophyll,ROC4,scRNA-seq
leaf mesophyll,AT3G62530,AT3G62530,NA,NA,AT3G62530,PO0025034,leaf mesophyll,AT3G62530,scRNA-seq
leaf mesophyll,AT3G62870,AT3G62870,NA,NA,RPL7AB,PO0025034,leaf mesophyll,AT3G62870,scRNA-seq
leaf mesophyll,OEP6,AT3G63160,Mesophyll cell,10.1093/plcell/koaa060,AT3G63160,PO0025034,leaf mesophyll,OEP6,scRNA-seq
leaf mesophyll,OEP6,AT3G63160,Mesophyll cell,10.1093/plcell/koaa060,AT3G63160,PO0025034,leaf,OEP6,Bulk RNA-seq
leaf mesophyll,AT3G63540,AT3G63540,NA,NA,AT3G63540,PO0025034,leaf mesophyll,AT3G63540,scRNA-seq
leaf mesophyll,RPS13A,AT4G00100,NA,NA,RPS13B,PO0025034,leaf mesophyll,RPS13A,scRNA-seq
leaf mesophyll,AT4G00810,AT4G00810,NA,NA,RPP1B,PO0025034,leaf mesophyll,AT4G00810,scRNA-seq
leaf mesophyll,AT4G00895,AT4G00895,NA,NA,AT4G00895,PO0025034,leaf mesophyll,AT4G00895,scRNA-seq
leaf mesophyll,AT4G01150,AT4G01150,NA,NA,CURT1A,PO0025034,leaf mesophyll,AT4G01150,scRNA-seq
leaf mesophyll,AT4G02725,AT4G02725,NA,NA,AT4G02725,PO0025034,leaf mesophyll,AT4G02725,scRNA-seq
leaf mesophyll,AT4G03150,AT4G03150,Mesophyll cell,10.1093/plcell/koaa060,AT4G03150,PO0025034,leaf mesophyll,AT4G03150,scRNA-seq
leaf mesophyll,PETC,AT4G03280,NA,NA,PETC,PO0025034,leaf mesophyll,PETC,scRNA-seq
leaf mesophyll,PSBQ-2,AT4G05180,NA,NA,PSBQ2,PO0025034,leaf mesophyll,PSBQ-2,scRNA-seq
leaf mesophyll,PSBQ-2,AT4G05180,NA,NA,PSBQ2,PO0025034,leaf,PSBQ-2,Bulk RNA-seq
leaf mesophyll,AT4G09040,AT4G09040,NA,NA,AT4G09040,PO0025034,leaf mesophyll,AT4G09040,scRNA-seq
leaf mesophyll,ATPD,AT4G09650,NA,NA,ATPD,PO0025034,leaf mesophyll,ATPD,scRNA-seq
leaf mesophyll,RPS18C,AT4G09800,NA,NA,RPS18C,PO0025034,leaf mesophyll,RPS18C,scRNA-seq
leaf mesophyll,AT4G10300,AT4G10300,NA,NA,AT4G10300,PO0025034,leaf mesophyll,AT4G10300,scRNA-seq
leaf mesophyll,AT4G12600,AT4G12600,NA,NA,AT4G12600,PO0025034,leaf mesophyll,AT4G12600,scRNA-seq
leaf mesophyll,,AT4G12917,Mesophyll cell,10.1038/nature13919,AT4G12917,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,STOMAGEN,AT4G12970,Guard cell,10.1146/annurev-arplant-042811-105451,EPFL9,PO0025034,leaf mesophyll,STOMAGEN,scRNA-seq
leaf mesophyll,STOMAGEN,AT4G12970,Mesophyll cell,10.1093/plcell/koaa060,EPFL9,PO0025034,leaf mesophyll,STOMAGEN,scRNA-seq
leaf mesophyll,AT4G13200,AT4G13200,NA,NA,AT4G13200,PO0025034,leaf mesophyll,AT4G13200,scRNA-seq
leaf mesophyll,AT4G13220,AT4G13220,Mesophyll cell,10.1093/plcell/koaa060,AT4G13220,PO0025034,leaf mesophyll,AT4G13220,scRNA-seq
leaf mesophyll,AT4G13500,AT4G13500,NA,NA,AT4G13500,PO0025034,leaf mesophyll,AT4G13500,scRNA-seq
leaf mesophyll,,AT4G13577,NA,NA,AT4G13577,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,SECE1,AT4G14870,Mesophyll cell,10.1093/plcell/koaa060,SECE1,PO0025034,leaf mesophyll,SECE1,scRNA-seq
leaf mesophyll,FdC1,AT4G14890,NA,NA,FdC2,PO0025034,leaf mesophyll,FdC1,scRNA-seq
leaf mesophyll,PPD1,AT4G15510,Mesophyll cell,10.1093/plcell/koaa060,PPD1,PO0025034,leaf mesophyll,PPD1,scRNA-seq
leaf mesophyll,AT4G16410,AT4G16410,NA,NA,AT4G16410,PO0025034,leaf mesophyll,AT4G16410,scRNA-seq
leaf mesophyll,AT4G16720,AT4G16720,NA,NA,RPL15A,PO0025034,leaf mesophyll,AT4G16720,scRNA-seq
leaf mesophyll,AT4G17390,AT4G17390,NA,NA,RPL15B,PO0025034,leaf mesophyll,AT4G17390,scRNA-seq
leaf mesophyll,AT4G17560,AT4G17560,Mesophyll cell,10.1093/plcell/koaa060,AT4G17560,PO0025034,leaf mesophyll,AT4G17560,scRNA-seq
leaf mesophyll,LIL3:1,AT4G17600,Mesophyll cell,10.1093/plcell/koaa060,LIL3.1,PO0025034,leaf mesophyll,LIL3:1,scRNA-seq
leaf mesophyll,RPL16B,AT4G18730,NA,NA,RPL11C,PO0025034,leaf mesophyll,RPL16B,scRNA-seq
leaf mesophyll,PSBQA,AT4G21280,NA,NA,PSBQ1,PO0025034,leaf mesophyll,PSBQA,scRNA-seq
leaf mesophyll,PSBQA,AT4G21280,NA,NA,PSBQ1,PO0025034,leaf,PSBQA,Bulk RNA-seq
leaf mesophyll,PSBQA,AT4G21280,NA,NA,PSBQ1,PO0025034,leaf mesophyll,PSBQA,Bulk RNA-seq
leaf mesophyll,MSRB2,AT4G21860,NA,NA,MSRB2,PO0025034,leaf mesophyll,MSRB2,scRNA-seq
leaf mesophyll,,AT4G22755,NA,NA,SMO1-3,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,AT4G22830,AT4G22830,Mesophyll cell,10.1093/plcell/koaa060,AT4G22830,PO0025034,leaf mesophyll,AT4G22830,scRNA-seq
leaf mesophyll,ACP4,AT4G25050,NA,NA,ACP4,PO0025034,leaf mesophyll,ACP4,scRNA-seq
leaf mesophyll,CHLM,AT4G25080,NA,NA,CHLM,PO0025034,leaf mesophyll,CHLM,scRNA-seq
leaf mesophyll,FSD1,AT4G25100,NA,NA,FSD1,PO0025034,leaf mesophyll,FSD1,scRNA-seq
leaf mesophyll,ACYB-2,AT4G25570,NA,NA,ACYB-2,PO0025034,leaf mesophyll,ACYB-2,scRNA-seq
leaf mesophyll,AT4G25740,AT4G25740,NA,NA,RPS10A,PO0025034,leaf mesophyll,AT4G25740,scRNA-seq
leaf mesophyll,FADA,AT4G27030,Mesophyll cell,10.1093/plcell/koaa060,FAD4,PO0025034,leaf mesophyll,FADA,scRNA-seq
leaf mesophyll,EMB1923,AT4G28210,Mesophyll cell,10.1093/plcell/koaa060,emb1923,PO0025034,leaf mesophyll,EMB1923,scRNA-seq
leaf mesophyll,PSB28,AT4G28660,NA,NA,PSB28,PO0025034,leaf mesophyll,PSB28,scRNA-seq
leaf mesophyll,PSB28,AT4G28660,NA,NA,PSB28,PO0025034,leaf mesophyll,PSB28,Bulk RNA-seq
leaf mesophyll,PSAE-1,AT4G28750,NA,NA,PSAE1,PO0025034,leaf mesophyll,PSAE-1,scRNA-seq
leaf mesophyll,PSAE-1,AT4G28750,NA,NA,PSAE1,PO0025034,leaf,PSAE-1,Bulk RNA-seq
leaf mesophyll,HCF153,AT4G31560,NA,NA,HCF153,PO0025034,leaf mesophyll,HCF153,scRNA-seq
leaf mesophyll,GPX7,AT4G31870,Mesophyll cell,10.1038/nature13919,GPX7,PO0025034,leaf mesophyll,GPX7,scRNA-seq
leaf mesophyll,GPX7,AT4G31870,Mesophyll cell,10.1093/plcell/koaa060,GPX7,PO0025034,leaf mesophyll,GPX7,scRNA-seq
leaf mesophyll,PDE334,AT4G32260,NA,NA,AT4G32260,PO0025034,leaf mesophyll,PDE334,scRNA-seq
leaf mesophyll,AT4G32590,AT4G32590,NA,NA,AT4G32590,PO0025034,leaf mesophyll,AT4G32590,scRNA-seq
leaf mesophyll,AT4G33110,AT4G33110,NA,NA,AT4G33110,PO0025034,leaf mesophyll,AT4G33110,scRNA-seq
leaf mesophyll,AT4G33666,AT4G33666,NA,NA,AT4G33666,PO0025034,leaf mesophyll,AT4G33666,scRNA-seq
leaf mesophyll,AT4G33865,AT4G33865,NA,NA,RPS29C,PO0025034,leaf mesophyll,AT4G33865,scRNA-seq
leaf mesophyll,44440,AT4G34190,NA,NA,Sep-01,PO0025034,leaf mesophyll,44440,scRNA-seq
leaf mesophyll,AT4G34265,AT4G34265,NA,NA,AT4G34265,PO0025034,leaf mesophyll,AT4G34265,scRNA-seq
leaf mesophyll,AT4G34290,AT4G34290,Mesophyll cell,10.1093/plcell/koaa060,AT4G34290,PO0025034,leaf mesophyll,AT4G34290,scRNA-seq
leaf mesophyll,HCF244,AT4G35250,Mesophyll cell,10.1093/plcell/koaa060,AT4G35250,PO0025034,leaf mesophyll,HCF244,scRNA-seq
leaf mesophyll,AT4G36130,AT4G36130,NA,NA,RPL8C,PO0025034,leaf mesophyll,AT4G36130,scRNA-seq
leaf mesophyll,AT4G36530,AT4G36530,Mesophyll cell,10.1093/plcell/koaa060,AT4G36530,PO0025034,leaf mesophyll,AT4G36530,scRNA-seq
leaf mesophyll,AT4G38100,AT4G38100,NA,NA,CURT1D,PO0025034,leaf mesophyll,AT4G38100,scRNA-seq
leaf mesophyll,AT4G38225,AT4G38225,Mesophyll cell,10.1093/plcell/koaa060,AT4G38225,PO0025034,leaf mesophyll,AT4G38225,scRNA-seq
leaf mesophyll,AT4G38490,AT4G38490,NA,NA,AT4G38490,PO0025034,leaf mesophyll,AT4G38490,scRNA-seq
leaf mesophyll,AT4G38840,AT4G38840,NA,NA,AT4G38840,PO0025034,leaf mesophyll,AT4G38840,scRNA-seq
leaf mesophyll,AT4G38840,AT4G38840,NA,NA,AT4G38840,PO0025034,leaf,AT4G38840,Bulk RNA-seq
leaf mesophyll,PnsL4,AT4G39710,Mesophyll cell,10.1038/nature13919,PNSL4,PO0025034,leaf mesophyll,PnsL4,scRNA-seq
leaf mesophyll,PnsL4,AT4G39710,Mesophyll cell,10.1093/plcell/koaa060,PNSL4,PO0025034,leaf mesophyll,PnsL4,scRNA-seq
leaf mesophyll,AT4G39970,AT4G39970,NA,NA,AT4G39970,PO0025034,leaf mesophyll,AT4G39970,scRNA-seq
leaf mesophyll,AT4G39970,AT4G39970,NA,NA,AT4G39970,PO0025034,leaf,AT4G39970,Bulk RNA-seq
leaf mesophyll,OHP,AT5G02120,NA,NA,OHP1,PO0025034,leaf mesophyll,OHP,scRNA-seq
leaf mesophyll,AT5G02610,AT5G02610,NA,NA,AT5G02610,PO0025034,leaf mesophyll,AT5G02610,scRNA-seq
leaf mesophyll,AT5G02960,AT5G02960,NA,NA,RPS23B,PO0025034,leaf mesophyll,AT5G02960,scRNA-seq
leaf mesophyll,AT5G03850,AT5G03850,NA,NA,RPS28A,PO0025034,leaf mesophyll,AT5G03850,scRNA-seq
leaf mesophyll,AT5G03880,AT5G03880,NA,NA,AT5G03880,PO0025034,leaf mesophyll,AT5G03880,scRNA-seq
leaf mesophyll,AT5G04800,AT5G04800,NA,NA,RPS17D,PO0025034,leaf mesophyll,AT5G04800,scRNA-seq
leaf mesophyll,2-Cys Prx B,AT5G06290,Mesophyll cell,10.1093/plcell/koaa060,2-Cys Prx B,PO0025034,leaf mesophyll,2-Cys Prx B,scRNA-seq
leaf mesophyll,AT5G08050,AT5G08050,NA,NA,AT5G08050,PO0025034,leaf mesophyll,AT5G08050,scRNA-seq
leaf mesophyll,AT5G09510,AT5G09510,NA,NA,RPS15D,PO0025034,leaf mesophyll,AT5G09510,scRNA-seq
leaf mesophyll,PPD5,AT5G11450,NA,NA,AT5G11450,PO0025034,leaf mesophyll,PPD5,scRNA-seq
leaf mesophyll,EMB3137,AT5G14320,NA,NA,RPS13,PO0025034,leaf mesophyll,EMB3137,scRNA-seq
leaf mesophyll,PDF1B,AT5G14660,Mesophyll cell,10.1093/plcell/koaa060,PDF1B,PO0025034,leaf mesophyll,PDF1B,scRNA-seq
leaf mesophyll,CA2,AT5G14740,NA,NA,BCA2,PO0025034,leaf mesophyll,CA2,scRNA-seq
leaf mesophyll,CA2,AT5G14740,NA,NA,BCA2,PO0025034,leaf,CA2,Bulk RNA-seq
leaf mesophyll,AT5G14910,AT5G14910,NA,NA,AT5G14910,PO0025034,leaf mesophyll,AT5G14910,scRNA-seq
leaf mesophyll,AT5G15200,AT5G15200,NA,NA,RPS9B,PO0025034,leaf mesophyll,AT5G15200,scRNA-seq
leaf mesophyll,AT5G16130,AT5G16130,NA,NA,RPS7C,PO0025034,leaf mesophyll,AT5G16130,scRNA-seq
leaf mesophyll,TRXF2,AT5G16400,NA,NA,TRXF2,PO0025034,leaf mesophyll,TRXF2,scRNA-seq
leaf mesophyll,ENH1,AT5G17170,NA,NA,ENH1,PO0025034,leaf mesophyll,ENH1,scRNA-seq
leaf mesophyll,AT5G17560,AT5G17560,NA,NA,BOLA4,PO0025034,leaf mesophyll,AT5G17560,scRNA-seq
leaf mesophyll,PSRP6,AT5G17870,NA,NA,PSRP6,PO0025034,leaf mesophyll,PSRP6,scRNA-seq
leaf mesophyll,AT5G19190,AT5G19190,Mesophyll cell,10.1038/nature13919,AT5G19190,PO0025034,leaf mesophyll,AT5G19190,scRNA-seq
leaf mesophyll,AT5G19190,AT5G19190,Mesophyll cell,10.1038/nature13919,AT5G19190,PO0025034,leaf,AT5G19190,Bulk RNA-seq
leaf mesophyll,AT5G19510,AT5G19510,NA,NA,AT5G19510,PO0025034,leaf mesophyll,AT5G19510,scRNA-seq
