peptide,type
XP_025882784,CN
NP_567082,KIN
XP_015614893,CN
XP_015614894,CN
XP_015614899,NL
XP_025876952,RLP
NP_193173,TNL
XP_015633330,KIN
NP_193171,CK
XP_004240812,RLP
XP_004240813,RLP
NP_174690,KIN
XP_004239762,KIN
XP_015640523,N
XP_015640526,KIN
XP_015640524,N
XP_015635489,KIN
NP_001233960,KIN
XP_015623345,RLK
XP_015623347,RLP
XP_015623346,RLK
XP_015644239,KIN
XP_015623348,KIN
XP_015628733,KIN
XP_004233056,KIN
XP_025887320,KIN
NP_001328953,RLP
XP_015632935,RLK
NP_200932,RLP
NP_001329572,KIN
NP_001329570,KIN
NP_001329571,KIN
NP_001324016,KIN
XP_015650107,CN
XP_015650106,N
XP_015650108,CN
XP_004237772,KIN
XP_025875804,CN
XP_015631011,KIN
NP_001319997,TNL
XP_015628843,RLK
XP_019070221,KIN
XP_015628844,RLK
XP_015612320,NL
NP_190150,KIN
XP_015612326,CK
XP_015612325,CK
NP_190153,KIN
XP_015622328,CN
XP_015615906,CN
XP_004238491,RLK
XP_004245469,KIN
NP_001328966,TNL
NP_194335,RLP
NP_173517,KIN
XP_015612494,KIN
NP_001328965,KIN
XP_015616370,KIN
NP_001315190,KIN
XP_010318222,RLK
XP_015616379,CNL
XP_015649202,N
XP_004240244,RLK
XP_015639485,RLK
XP_015639487,RLK
XP_015639486,RLK
XP_025881558,RLK
XP_015639489,RLK
XP_015639488,RLK
XP_015630761,RLK
XP_025880973,KIN
NP_849627,KIN
XP_015649188,RLP
XP_025875664,KIN
XP_015634426,RLP
XP_025884318,KIN
XP_025876869,KIN
XP_025876868,KIN
NP_566911,KIN
XP_025885242,N
XP_025876861,KIN
XP_025876867,KIN
XP_025876866,KIN
NP_001330499,KIN
XP_010316862,RLK
NP_849957,RLP
XP_010316864,RLK
XP_010316865,RLK
XP_010316868,RLK
XP_010316869,RLK
XP_015614644,KIN
XP_015644837,NL
NP_177182,KIN
XP_015644838,NL
XP_004252689,N
XP_025875811,N
XP_015622995,RLP
NP_197362,KIN
XP_025877400,CN
XP_025877402,N
XP_025877403,CN
XP_025877407,KIN
XP_015642375,RLK
XP_015647254,KIN
XP_025876313,RLK
XP_004231961,RLK
XP_025876311,RLK
XP_010318173,CK
NP_001326307,KIN
XP_004230567,KIN
XP_004235515,RLK
NP_188368,KIN
XP_015623119,CL
NP_001322557,NL
NP_001322556,NL
XP_015626472,RLK
XP_004234641,RLK
NP_001322559,TNL
XP_015626475,RLK
XP_010325392,CN
XP_010325390,CN
XP_010325391,CN
XP_010325398,KIN
XP_010325399,KIN
XP_004233917,RLK
XP_004233913,RLP
NP_567961,RLK
XP_010316715,RLK
XP_010316716,RLK
XP_010316717,RLK
XP_010316713,RLK
XP_015626697,KIN
XP_015651077,RLP
XP_004246354,KIN
XP_015640203,KIN
NP_001190203,KIN
XP_015640206,CNL
NP_001319699,KIN
XP_004245618,RLK
XP_015641553,N
NP_001319693,RLP
NP_001319694,RLK
XP_025881035,CN
XP_015643441,CK
NP_001320020,KIN
XP_015614900,NL
NP_001324220,RLK
NP_001332396,NL
XP_015614672,KIN
XP_015619024,N
XP_019070947,RLK
NP_001328562,KIN
XP_015615823,CN
XP_015651443,RLK
XP_015627129,CK
XP_015627128,CK
XP_015651444,RLK
XP_010318523,RLK
XP_015629879,KIN
XP_015629878,KIN
XP_015649789,KIN
XP_015649788,KIN
XP_019071329,TRAN
XP_019071325,RLK
XP_015649787,KIN
XP_019066850,CN
XP_019066855,RLK
XP_019070059,KIN
XP_025879281,KIN
XP_019068734,KIN
NP_187875,KIN
NP_001321774,NL
NP_683519,KIN
NP_001321773,NL
NP_175559,CNL
XP_015649560,N
XP_025876675,KIN
XP_025887558,RLK
XP_025876677,L
XP_015618657,RLK
NP_566589,RLK
XP_004248695,KIN
XP_019067985,KIN
NP_001329216,CTNL
XP_015640834,RLK
XP_015640835,RLK
XP_015640836,RLK
XP_025879328,N
XP_004249613,KIN
XP_015611880,RLK
XP_004232089,KIN
XP_015626999,NL
XP_015626998,NL
XP_025876414,N
NP_173094,CK
XP_025879147,RLK
XP_015638740,CK
XP_015638210,KIN
XP_015611086,RLK
XP_025879148,CN
NP_176115,RLP
XP_010315920,RLP
NP_001321302,RLK
XP_004242981,RLP
XP_015610936,KIN
XP_004232881,CK
XP_015635455,N
NP_564722,KIN
XP_015637291,CN
NP_187120,KIN
XP_015648119,CN
XP_015613052,NL
XP_015643846,KIN
XP_015643333,CK
XP_015644457,RLK
NP_001189598,KIN
NP_001318322,KIN
XP_015613051,NL
NP_186833,KIN
XP_004239351,KIN
XP_004242474,CN
NP_566580,KIN
NP_001234353,KIN
NP_001234355,KIN
XP_025877234,NL
XP_025883875,KIN
XP_004246507,TRAN
XP_015646869,KIN
XP_010319736,N
XP_010319735,N
XP_004234070,KIN
NP_177573,KIN
NP_001190494,TN
XP_025888323,RLP
XP_025888322,RLP
XP_025883149,KIN
XP_025882231,KIN
NP_567574,KIN
XP_004234250,RLK
XP_015644644,KIN
XP_015644643,KIN
NP_181383,CK
NP_850687,KIN
NP_850861,KIN
XP_025881118,N
XP_025878145,KIN
NP_001332252,KIN
NP_001332251,KIN
NP_001332250,KIN
NP_201472,KIN
NP_193194,KIN
XP_015620264,CN
XP_025888067,N
NP_001328022,TNL
NP_001328021,TNL
NP_001328020,TNL
XP_015645906,KIN
NP_001031499,RLK
NP_001327918,KIN
XP_010327701,RLK
NP_178202,KIN
NP_179973,RLK
NP_175639,KIN
NP_001323214,KIN
NP_001328971,CK
NP_001328970,TNL
NP_001323213,CNL
NP_199264,TNL
XP_025877289,CN
NP_194615,KIN
NP_171796,KIN
XP_004239839,CK
NP_199536,CNL
NP_199539,N
XP_004237756,KIN
XP_015651234,CK
NP_001320123,N
XP_015612301,KIN
XP_010321289,KIN
XP_015617151,KIN
NP_001307541,KIN
XP_019070209,KIN
NP_001307546,KIN
NP_001330712,TNL
XP_015649195,RLP
XP_015619467,KIN
XP_015619460,CL
NP_201480,KIN
XP_015613871,KIN
XP_015613873,KIN
NP_001322890,TNL
XP_004245405,KIN
NP_001322897,RLK
NP_001322898,RLK
XP_015643490,KIN
XP_004242993,RLK
XP_015617371,KIN
XP_015617370,KIN
NP_001154409,CK
XP_004246699,RLK
XP_015619793,RLK
XP_004228463,KIN
XP_015619794,KIN
XP_004238615,RLK
NP_001184970,CNL
NP_172265,KIN
XP_025886147,KIN
XP_025878158,KIN
XP_019066447,RLP
XP_025878155,KIN
XP_025881572,KIN
XP_004240226,KIN
XP_010312381,KIN
XP_015628310,KIN
XP_010323281,KIN
NP_179057,RLK
NP_001320822,KIN
NP_001320793,KIN
XP_004248207,RLP
XP_025879796,KIN
XP_025880996,KIN
XP_004237339,RLK
XP_025879799,KIN
XP_025875684,N
XP_025875685,N
XP_025875686,N
XP_025875687,N
XP_025875680,N
XP_025875681,N
XP_025875682,N
XP_025875683,N
XP_025875688,N
XP_025875689,N
XP_015631433,CK
NP_180839,KIN
XP_015616486,NL
XP_010319924,CK
XP_015647689,CN
NP_001308014,RLP
NP_001308016,KIN
XP_025876880,CNL
XP_015647683,KIN
NP_189176,KIN
NP_188140,CK
NP_001322024,NL
XP_019069358,CN
NP_001305052,RLP
NP_176561,TNL
XP_025877935,KIN
XP_025877936,CN
NP_176562,NL
XP_025877930,CN
XP_025877420,N
XP_025877421,NL
XP_015624224,RLP
XP_015639737,KIN
XP_010320704,N
XP_010320705,KIN
XP_025876331,N
NP_974221,KIN
XP_004252374,KIN
XP_025887646,KIN
XP_025887641,RLK
XP_010320708,CN
XP_015645850,CN
NP_192811,CK
NP_192816,CNL
NP_001326639,RLP
XP_004230019,KIN
NP_197731,RLP
XP_015626457,KIN
XP_015626454,KIN
XP_015626452,KIN
XP_015626453,KIN
XP_015626450,KIN
XP_015626451,KIN
NP_198058,RLP
NP_198509,TNL
XP_015622521,KIN
XP_015617975,CN
XP_015617976,CN
XP_010315122,KIN
XP_015617979,CN
NP_001333428,CN
XP_015631594,KIN
NP_974952,KIN
NP_974483,KIN
NP_181176,KIN
XP_004245688,RLK
XP_015619167,CNL
XP_015632278,KIN
XP_025882686,KIN
XP_015651012,RLK
XP_010315381,KIN
XP_015651016,RLP
NP_001307979,KIN
NP_001318496,RLK
NP_001190595,RLK
XP_015628674,KIN
XP_015628676,KIN
XP_015628677,KIN
XP_015628671,KIN
XP_015628673,RLK
XP_015628678,KIN
XP_015628679,KIN
XP_015620446,RLK
XP_015612843,N
XP_015627493,CN
NP_195776,KIN
XP_015625437,KIN
NP_195774,KIN
NP_001078577,KIN
NP_001322951,KIN
XP_004252962,KIN
XP_004252961,KIN
NP_001322952,KIN
NP_001322955,KIN
XP_025878307,RLP
XP_025878304,KIN
NP_190906,KIN
NP_190053,TNL
NP_190506,KIN
XP_015632491,KIN
XP_015627146,KIN
NP_192855,TNL
XP_015635724,KIN
XP_015635720,KIN
XP_015635721,KIN
XP_015635722,KIN
XP_015613469,KIN
XP_015613460,KIN
XP_015612514,N
XP_015612515,N
XP_025880762,CK
XP_010318400,KIN
XP_025880760,CN
XP_015619519,KIN
NP_001329181,KIN
XP_015645210,NL
NP_179266,KIN
NP_564898,KIN
XP_015644063,N
XP_015644067,N
XP_015644066,N
NP_178019,RLK
XP_015649504,RLK
NP_175577,KIN
NP_178015,CK
XP_004230487,KIN
NP_175573,KIN
NP_173302,KIN
XP_025876656,CN
XP_015642080,KIN
XP_025880507,KIN
NP_001329233,KIN
XP_025880504,KIN
XP_004249365,CLK
NP_195952,KIN
XP_015621425,RLK
XP_004250234,KIN
NP_191675,KIN
XP_019066876,KIN
XP_019066877,KIN
XP_019066870,RLP
XP_025879169,N
XP_025879168,N
XP_025879163,N
XP_025879162,N
XP_025879164,N
XP_015638233,RLK
NP_001330515,KIN
XP_004241857,RLK
NP_565214,KIN
XP_015624207,KIN
XP_004230711,RLP
XP_015646748,KIN
XP_015646749,KIN
XP_004232578,KIN
XP_004232577,KIN
XP_015646740,KIN
NP_001190865,RLK
XP_015610913,RLP
NP_188654,CLK
NP_188655,CK
XP_015612169,CNL
NP_001329063,KIN
XP_025881377,KIN
XP_010323777,L
XP_010324340,KIN
XP_010324341,KIN
NP_001233866,RLK
NP_001318309,RLK
NP_849788,KIN
NP_200457,KIN
NP_849787,CK
XP_004228851,KIN
XP_015650537,CNL
XP_015625238,RLP
NP_001319310,KIN
XP_025877415,CN
XP_015649859,RLK
XP_015649858,RLK
XP_004242452,RLK
XP_004242453,CN
XP_004242322,RLP
XP_004242451,RLK
NP_001321987,CK
NP_001234370,N
XP_015643371,NL
NP_001234376,KIN
XP_015619240,N
XP_015636497,RLK
XP_015614329,KIN
XP_015614328,KIN
NP_182083,CK
NP_177557,RLP
NP_177559,RLP
NP_177558,RLP
NP_850115,KIN
XP_015636140,KIN
NP_192590,KIN
NP_175344,KIN
XP_025875883,CNL
NP_193421,L
NP_193420,TNL
NP_193425,TNL
NP_193424,TNL
NP_193427,TNL
NP_193426,TN
NP_178651,KIN
NP_193428,TNL
NP_850806,CK
XP_015614777,KIN
XP_025877235,NL
NP_001190672,CK
XP_010318399,KIN
XP_015616987,CN
XP_015616985,CN
XP_015616984,CN
XP_015616983,N
XP_015616982,N
XP_010319380,CN
NP_001330850,RLK
XP_015616988,CN
XP_004234513,KIN
XP_025877238,N
XP_015618118,CN
XP_004251608,KIN
XP_015642501,RLK
NP_001323054,RLP
XP_015615459,N
XP_025882217,RLK
XP_025882216,L
XP_025882213,KIN
XP_004250953,CK
XP_025885079,RLK
XP_015645044,RLK
XP_010314655,CK
XP_004235876,CK
XP_010327728,KIN
XP_004233092,RLK
NP_199242,KIN
XP_004233763,TNL
XP_025885293,NL
XP_025885298,RLP
XP_025875846,N
XP_025875845,N
NP_001334606,RLK
NP_001185256,KIN
NP_001185254,NL
NP_001185252,TNL
NP_001323401,RLP
XP_004235072,KIN
NP_001328450,TNL
XP_004238983,KIN
XP_010316874,RLK
XP_004244326,RLK
XP_025881679,RLK
XP_004245421,KIN
NP_001031507,KIN
XP_015620651,N
XP_025885510,N
XP_015648590,RLK
NP_001324056,KIN
XP_015648598,RLK
XP_004238189,CNL
XP_004228443,RLP
XP_004228442,RLP
NP_172532,KIN
XP_004238187,KIN
XP_010322758,KIN
XP_025878177,RLP
XP_004240205,CN
XP_025881591,RLP
NP_198942,KIN
NP_001077816,T
NP_001031440,KIN
NP_001330722,RLK
XP_015629683,KIN
XP_015638539,CNL
XP_015631419,N
XP_015631412,KIN
XP_015634170,KIN
XP_015634171,RLP
NP_180810,CK
XP_015620262,CN
NP_199811,CK
XP_015630090,NL
XP_025880735,N
NP_001234611,KIN
XP_015616402,KIN
XP_015616403,KIN
XP_015616400,CNL
XP_015616401,CN
XP_010323404,CLK
XP_015647376,KIN
XP_010320662,KIN
XP_015638390,KIN
NP_176094,T
NP_176096,KIN
XP_015650500,N
NP_176093,T
XP_015650502,N
XP_004252390,RLP
XP_015647219,RLP
NP_176328,RLP
NP_001326619,CK
NP_176326,CNL
XP_004230033,CK
XP_004230523,KIN
XP_015636823,KIN
XP_010316824,NL
XP_015624325,RLP
NP_849998,KIN
XP_010316828,RLK
XP_010316285,CK
XP_025879960,CK
XP_025879967,NL
XP_004250895,KIN
XP_004250894,KIN
XP_010315114,KIN
XP_025879167,N
NP_001117479,RLK
NP_200662,KIN
NP_200660,KIN
NP_001154222,NLK
NP_196159,CN
XP_015646294,KIN
NP_177947,RLP
NP_181196,RLK
XP_010320985,KIN
XP_010320987,KIN
XP_015617690,RLK
XP_015632251,KIN
XP_025882665,KIN
NP_001326968,KIN
NP_001326969,KIN
XP_004247302,CLK
XP_025877002,RLK
XP_015623411,KIN
NP_001318472,KIN
XP_025886573,CK
XP_015643068,KIN
NP_001185009,KIN
XP_004234600,RLK
NP_190293,RLK
NP_001323641,RLK
NP_190295,RLK
XP_025882003,RLP
NP_199389,CL
NP_195711,KIN
XP_015633706,KIN
XP_015633707,KIN
NP_198389,RLK
NP_198388,CK
NP_198387,KIN
XP_019070907,KIN
XP_019070909,CK
NP_190071,KIN
XP_015645181,KIN
XP_010322230,TRAN
XP_004244653,CK
XP_010322232,TRAN
XP_010322233,TRAN
XP_015613447,KIN
XP_015613441,KIN
NP_175774,KIN
NP_175777,RLK
XP_015648437,RLK
XP_010326916,RLK
XP_015616960,RLK
XP_004239441,KIN
XP_004239116,CN
XP_015623518,RLK
XP_015644041,RLP
XP_015644040,RLP
XP_004228617,RLP
NP_178075,CK
NP_175512,KIN
XP_015628436,KIN
XP_004252943,CK
XP_004252942,CK
XP_025881922,RLP
XP_025880521,KIN
XP_025880522,KIN
XP_015629215,KIN
XP_010313228,KIN
XP_010313227,KIN
XP_004249302,N
XP_010313224,KIN
XP_015650754,KIN
XP_015650755,KIN
XP_015650756,KIN
XP_015650757,KIN
XP_015626954,KIN
XP_015626953,KIN
XP_015626952,CN
XP_015626951,CN
XP_015648938,KIN
NP_196925,CLK
XP_010312280,KIN
XP_015638700,N
NP_001326421,TNL
XP_015643251,KIN
NP_001326422,TNL
NP_176151,CN
NP_176153,CNL
XP_015610979,KIN
XP_025878589,KIN
NP_001189801,RLK
XP_025878584,CNL
XP_004238243,KIN
XP_015646766,RLK
XP_015646767,KIN
XP_025878583,CNL
NP_187165,KIN
XP_025877581,CN
XP_025877580,CN
XP_025877582,CN
XP_025877585,CN
XP_025877584,KIN
XP_025877587,CLK
XP_015617527,CN
XP_025886804,NL
NP_174809,RLK
NP_174807,KIN
NP_192358,KIN
NP_192359,KIN
NP_190257,NL
XP_004245135,KIN
NP_001332592,CN
NP_001325734,KIN
NP_001325735,KIN
NP_001325736,KIN
XP_025876180,CK
XP_025877765,KIN
XP_025877767,KIN
NP_001234394,KIN
NP_001234393,CK
NP_001326280,CK
XP_025878979,KIN
XP_025878978,KIN
XP_015634618,RLP
XP_025878970,KIN
XP_025878972,KIN
XP_010319773,RLK
NP_177203,KIN
NP_177202,KIN
XP_015618565,N
XP_004242223,KIN
NP_177209,KIN
XP_015628681,KIN
XP_010318824,CK
XP_015636615,KIN
XP_015636618,KIN
XP_010319415,CK
XP_015625683,CK
XP_015633065,NL
XP_015633067,NL
XP_015633066,NL
XP_025888183,CL
XP_015615616,KIN
XP_015615617,KIN
NP_001190651,KIN
XP_010314773,NL
NP_201434,RLP
XP_015613613,KIN
XP_010320517,RLP
XP_010325032,N
XP_025882273,CN
XP_025882276,N
XP_025882275,CN
XP_025882274,CN
NP_001078435,KIN
NP_001078388,CK
NP_001326380,CK
NP_001326381,CK
NP_181039,RLP
NP_197963,RLP
NP_198716,KIN
NP_197965,RLK
NP_198715,KIN
NP_198718,KIN
NP_198719,KIN
NP_001328289,KIN
NP_001328288,KIN
XP_004252025,KIN
XP_019071269,KIN
XP_025886867,N
XP_019071266,RLK
XP_010318084,CNL
XP_025882499,KIN
XP_004247516,RLP
XP_015648607,KIN
XP_015648604,KIN
XP_010326216,KIN
XP_010326215,KIN
NP_001332381,KIN
NP_001329882,CNT
NP_001329883,CNT
NP_001329880,CNT
NP_001329881,CNT
XP_025878777,KIN
XP_019066665,CL
XP_019066664,CL
XP_025881603,RLK
XP_025878772,CN
XP_025881601,KIN
XP_025884898,KIN
XP_025878778,KIN
XP_015651345,KIN
XP_015651346,KIN
XP_015651343,KIN
NP_194928,KIN
NP_001329086,KIN
NP_001329087,KIN
NP_001329085,KIN
NP_001154444,TNL
XP_015629917,KIN
NP_001329080,KIN
NP_195034,KIN
NP_001329088,KIN
NP_001329089,KIN
XP_015634377,RLK
XP_015634378,KIN
XP_015634379,KIN
XP_025878112,KIN
NP_001077839,KIN
NP_001031427,KIN
XP_015630876,KIN
NP_001330749,NL
XP_015611967,KIN
NP_001343195,KIN
NP_001343196,KIN
XP_015632485,N
NP_001343199,KIN
NP_564913,CK
XP_015611619,KIN
XP_015634114,KIN
NP_001320505,KIN
XP_015631478,KIN
XP_015631479,KIN
XP_015620241,KIN
XP_015620243,CK
NP_180875,RLK
XP_015627965,KIN
XP_015639646,CK
XP_015620249,KIN
XP_004239305,KIN
XP_004250377,RLK
XP_010318619,KIN
XP_015616460,CNL
XP_015616462,KIN
XP_015616463,KIN
XP_015616464,KIN
XP_015616465,KIN
XP_015616466,KIN
XP_015616467,KIN
XP_015616468,KIN
XP_015616398,CNL
XP_015616399,CNL
XP_010322775,N
XP_015644856,KIN
XP_015644854,KIN
XP_015644855,KIN
XP_004252624,RLK
XP_010320686,N
XP_015647397,KIN
XP_025887814,KIN
XP_015647398,KIN
XP_015647399,KIN
NP_176525,CNL
NP_176524,CNL
NP_001321080,KIN
NP_001321081,KIN
XP_015650566,KIN
XP_010317547,KIN
XP_004231906,KIN
XP_025876374,RLK
NP_197351,KIN
XP_004241680,KIN
XP_025883466,RLK
XP_015621110,RLP
XP_004230058,KIN
XP_015624436,KIN
NP_001326360,L
XP_015636841,KIN
XP_015636844,KIN
XP_015636845,KIN
NP_187982,KIN
NP_186779,KIN
XP_025877390,N
NP_001318538,TNL
NP_200643,KIN
XP_015619169,CN
NP_177694,RLK
NP_001319123,TNL
XP_015617152,KIN
XP_015610887,CK
XP_015626368,KIN
XP_015626369,KIN
NP_001322061,CK
NP_001322062,CK
NP_001328630,KIN
NP_001328631,KIN
XP_010326681,KIN
XP_010326683,KIN
XP_010326682,KIN
NP_001324939,KIN
NP_001324938,KIN
NP_567679,KIN
NP_567678,KIN
NP_567677,KIN
NP_567676,KIN
NP_001318981,KIN
NP_001318986,CNL
NP_001332330,TNL
NP_001332331,TN
NP_001335108,KIN
XP_015633230,RLP
XP_015633721,KIN
NP_974914,CK
XP_019066849,CN
XP_019070383,KIN
XP_019070386,KIN
XP_019070385,KIN
XP_019070384,KIN
XP_019070389,KIN
XP_015649193,CN
XP_004239685,KIN
XP_015635765,KIN
XP_004238009,RLP
XP_015646387,CN
XP_010319190,RLK
XP_015649720,N
NP_175756,KIN
NP_178581,KIN
XP_015628989,KIN
XP_015613429,KIN
XP_015642847,RLK
XP_015642846,RLK
XP_015642844,RLK
XP_025880720,N
XP_015629584,KIN
XP_015640623,CK
NP_179220,RLK
XP_004239469,N
NP_175538,T
XP_015649097,KIN
XP_015649099,KIN
XP_004228639,RLP
XP_015622126,KIN
XP_025878348,RLP
XP_025880091,KIN
XP_025880093,KIN
XP_025880092,KIN
XP_004244242,CK
NP_195993,KIN
XP_015650770,KIN
XP_015650771,KIN
XP_015626976,KIN
XP_010313209,KIN
XP_004232023,KIN
XP_015641394,RLK
XP_015620674,CN
XP_015639094,KIN
XP_015639095,KIN
XP_015639092,KIN
XP_015639091,KIN
XP_015617254,KIN
XP_015612551,CN
XP_015617256,KIN
XP_015612555,KIN
XP_015617252,CN
XP_015617253,KIN
XP_015635985,KIN
XP_015635986,KIN
NP_187360,N
XP_015638279,KIN
XP_015616076,KIN
XP_015616072,CK
NP_172169,RLK
XP_015610956,KIN
NP_001319465,TN
XP_015646703,RLK
NP_001319463,N
XP_015610950,KIN
XP_015610958,KIN
XP_025881415,RLK
NP_001311447,KIN
XP_025876967,N
XP_025876613,KIN
XP_025876969,RLP
XP_025877566,KIN
XP_004249854,RLP
XP_025877562,KIN
NP_200415,RLK
XP_015618014,KIN
XP_004228898,KIN
NP_001324448,RLK
NP_199990,KIN
XP_004236904,RLK
NP_001330554,CK
XP_015636457,KIN
NP_001117591,RLP
XP_015636459,KIN
XP_015636458,KIN
NP_189017,RLK
XP_015641893,RLP
XP_015646375,KIN
XP_015646374,KIN
XP_025878913,KIN
XP_025878912,KIN
XP_025878914,KIN
XP_015618541,N
XP_015618540,N
XP_025888347,NL
XP_004231881,RLK
NP_187142,KIN
XP_010324303,N
NP_851133,TNL
NP_851131,T
NP_200956,RLK
XP_015633001,KIN
NP_172266,KIN
XP_015615675,RLK
NP_001319171,KIN
XP_004242366,KIN
NP_001329657,NLK
XP_019066448,KIN
XP_004243365,RLP
XP_015626776,RLK
XP_025883700,L
XP_015626771,RLK
XP_015626778,RLK
XP_015615495,RLK
XP_015615496,RLK
XP_015615497,RLK
XP_025887010,CN
XP_004241471,KIN
XP_015615498,RLK
XP_004235768,RLK
XP_015624609,RLP
NP_001328257,RLK
NP_001321527,CK
NP_001321529,CK
NP_001321528,CK
XP_004248758,RLP
XP_025881128,RLK
NP_198220,KIN
NP_188054,KIN
XP_025881129,RLK
NP_181012,CK
NP_188052,RLK
XP_015636410,KIN
XP_004242588,RLK
NP_568696,RLK
XP_004242581,KIN
XP_004246299,RLK
XP_004236087,KIN
XP_015614813,N
XP_015614812,N
XP_015614815,CN
XP_015614814,CN
XP_015613099,RLK
XP_015623226,RLK
XP_015648229,N
NP_001185212,KIN
NP_001185211,KIN
NP_171888,CK
NP_001329719,CTNL
XP_015641258,KIN
XP_015618844,CNL
XP_004238413,KIN
XP_025881627,RLP
XP_015641250,RLK
XP_025878752,CN
XP_025878281,KIN
XP_015617399,RLP
XP_015617395,RLK
XP_015617394,RLK
XP_015617396,RLK
XP_015617390,CN
XP_015651360,RLK
XP_015651361,RLK
NP_001320657,CK
NP_001320658,CK
NP_200320,KIN
NP_001324760,KIN
XP_015622428,RLK
XP_004239890,KIN
NP_001330708,KIN
XP_010314002,KIN
NP_175256,KIN
NP_175255,KIN
NP_172572,KIN
XP_015634355,RLK
XP_015631188,CK
XP_019066422,N
XP_015628374,N
XP_015628376,KIN
XP_025882825,KIN
XP_025882822,N
XP_025882829,KIN
XP_015645378,KIN
XP_015645377,KIN
NP_564971,TNL
XP_015635515,CN
XP_015635514,CN
XP_010314103,N
XP_015644360,N
XP_015644361,N
NP_566229,KIN
NP_566223,TN
NP_196779,KIN
XP_015630588,KIN
XP_025879170,N
XP_025879088,KIN
XP_025879089,KIN
XP_025879086,KIN
XP_025879087,KIN
XP_025879084,KIN
XP_025879085,KIN
XP_025879082,KIN
XP_025879083,KIN
XP_019067591,N
XP_004250358,KIN
NP_001326419,TNL
XP_004239326,RLP
XP_010322795,RLK
XP_004245072,KIN
XP_010327323,KIN
XP_010327322,KIN
XP_025881383,N
XP_004252850,RLP
XP_015639251,RLP
XP_025877952,CN
XP_025877953,CN
XP_025877950,KIN
XP_015621591,KIN
NP_001326041,KIN
XP_004232923,RLK
XP_015634135,NL
NP_563824,KIN
XP_015634131,KIN
XP_015630329,RLK
XP_015630328,RLK
XP_015637111,RLP
XP_015630326,RLK
XP_015637113,RLP
XP_015637112,RLP
XP_015637114,RLP
NP_565756,CK
XP_015615584,CN
NP_001321381,TNL
XP_015636867,L
NP_179885,KIN
XP_004235597,KIN
XP_019069942,KIN
NP_179889,CK
XP_015610729,CNL
NP_189486,RLK
NP_186930,CK
NP_186938,RLK
NP_001234210,KIN
NP_001265974,RLK
NP_001234214,KIN
NP_200623,RLK
NP_200620,TNL
XP_025884285,RLK
XP_025884287,KIN
XP_025883061,RLK
XP_025883062,RLK
XP_015615807,KIN
XP_015615809,KIN
XP_015615808,KIN
XP_025882627,CNL
XP_004242113,RLP
XP_025877042,KIN
XP_025877049,CNL
XP_015635163,KIN
XP_004253237,KIN
XP_025884750,TNL
NP_193070,RLP
NP_850720,KIN
XP_025888663,TNL
XP_025888661,TNL
XP_025883396,N
XP_025881104,RLK
NP_194591,N
NP_190255,CN
NP_194594,RLK
NP_194596,KIN
NP_001324958,KIN
XP_019068308,KIN
NP_001324950,KIN
NP_001332317,KIN
XP_015633740,RLK
NP_193611,RLP
XP_015642481,KIN
NP_194046,KIN
XP_015635747,KIN
XP_015635748,KIN
XP_015635749,KIN
XP_025888796,CN
XP_015650301,CK
XP_025883939,KIN
XP_025883938,KIN
NP_001328658,CK
XP_004252181,RLP
NP_001323606,RLP
NP_001323607,RLK
NP_001328652,T
NP_001328653,T
NP_001328654,T
NP_001328871,KIN
NP_974649,KIN
XP_015629565,NL
XP_025880707,RLK
NP_974471,KIN
NP_001324374,KIN
NP_174427,RLK
XP_025880879,NL
XP_019070726,N
XP_004239406,N
NP_180201,RLK
XP_004239409,KIN
NP_201107,CN
XP_025875940,KIN
NP_198969,TNL
XP_025875949,KIN
XP_015648807,RLP
XP_015617413,CN
XP_015612170,CNL
XP_025884484,RLP
NP_568486,KIN
XP_015617411,CN
NP_191342,RLK
XP_015646490,KIN
XP_015646491,KIN
XP_015634834,KIN
XP_015634833,KIN
NP_188505,CK
NP_001319700,KIN
NP_196968,KIN
XP_004240041,KIN
XP_015642865,KIN
XP_015617276,N
XP_015617277,N
XP_015617274,CN
XP_015617275,N
XP_015616052,RLP
XP_015641119,KIN
XP_004238203,KIN
XP_025884112,KIN
XP_025884113,KIN
XP_004249405,RLK
XP_025876942,N
XP_025876943,RLK
XP_025876940,N
XP_025876941,N
XP_025876944,RLK
XP_019067905,KIN
XP_019067904,KIN
XP_010317039,KIN
XP_015648890,N
NP_001030940,CK
NP_001030941,CK
XP_015648898,RLP
NP_001332550,RLK
NP_973478,KIN
NP_196345,RLK
XP_015625257,RLK
NP_001233871,RLK
NP_199976,TNL
XP_004236921,CN
XP_025885692,CNL
NP_001077592,KIN
NP_001330203,CT
XP_010324492,TNL
XP_010324491,CN
XP_004243673,KIN
XP_025880386,CN
XP_025884560,N
XP_025884563,N
XP_025878939,RLK
XP_025884568,N
NP_001325594,KIN
XP_004231068,CK
XP_015618521,KIN
XP_010320169,RLK
XP_010320167,RLK
XP_004231067,CK
XP_025882161,CN
XP_025877544,RLK
XP_015644155,CN
NP_851117,TNL
XP_015644154,CN
XP_015633020,KIN
XP_025876238,RLK
XP_025876239,RLK
XP_004231949,RLP
NP_176262,CLK
NP_172244,RLK
XP_004249703,RLK
XP_015628957,KIN
XP_025887648,RLP
XP_004244420,N
NP_175879,KIN
XP_004243430,N
XP_004234787,KIN
XP_025876760,KIN
XP_025883230,KIN
