Species_type,Tissus_type,Tissue_type_PO,Cell_type,Cell_type_PO,Cell_marker_name,Gene_symbol,Gene_id,Gene_id_rap,Protein_name,Protein_id,Marker_resource,PMID,Note_gene_type,Description
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G21400,AT1G21400,,,,scRNA-seq,33955487,Differentially expressed gene,Thiamin diphosphate-binding fold (THDP-binding) superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G04770,AT1G04770,,,,scRNA-seq,33955487,Differentially expressed gene,Tetratricopeptide repeat (TPR)-like superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT2G35880,AT2G35880,,,,scRNA-seq,33955487,Differentially expressed gene,TPX2 (targeting protein for Xklp2) protein family
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G18810,AT1G18810,,,,scRNA-seq,33955487,Differentially expressed gene,phytochrome kinase substrate-like protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,CAD5,AT4G34230,,,,scRNA-seq,33955487,Differentially expressed gene,cinnamyl alcohol dehydrogenase 5
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G18310,AT5G18310,,,,scRNA-seq,33955487,Differentially expressed gene,ubiquitin hydrolase
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G63420,AT1G63420,,,,scRNA-seq,33955487,Differentially expressed gene,O-glucosyltransferase-like protein (DUF821)
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,scpl50,AT1G15000,,,,scRNA-seq,33955487,Differentially expressed gene,serine carboxypeptidase-like 50
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,UMAMIT22,AT1G43650,,,,scRNA-seq,33955487,Differentially expressed gene,nodulin MtN21 /EamA-like transporter family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT4G25780,AT4G25780,,,,scRNA-seq,33955487,Differentially expressed gene,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein"
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT2G17710,AT2G17710,,,,scRNA-seq,33955487,Differentially expressed gene,Big1
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,SIM,AT5G04470,,,,scRNA-seq,33955487,Differentially expressed gene,cyclin-dependent protein kinase inhibitor
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G01310,AT3G01310,,,,scRNA-seq,33955487,Differentially expressed gene,Phosphoglycerate mutase-like family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G21050,AT1G21050,,,,scRNA-seq,33955487,Differentially expressed gene,"MIZU-KUSSEI-like protein (Protein of unknown function, DUF617)"
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,CP12-3,AT1G76560,,,,scRNA-seq,33955487,Differentially expressed gene,CP12 domain-containing protein 3
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G02510,AT3G02510,,,,scRNA-seq,33955487,Differentially expressed gene,Regulator of chromosome condensation (RCC1) family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G52190,AT1G52190,,,,scRNA-seq,33955487,Differentially expressed gene,Major facilitator superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G09390,AT1G09390,,,,scRNA-seq,33955487,Differentially expressed gene,GDSL-like Lipase/Acylhydrolase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,MEK1,AT4G26070,,,,scRNA-seq,33955487,Differentially expressed gene,MAP kinase/ ERK kinase 1
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,JAZ5,AT1G17380,,,,scRNA-seq,33955487,Differentially expressed gene,jasmonate-zim-domain protein 5
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G18490,AT5G18490,,,,scRNA-seq,33955487,Differentially expressed gene,vacuolar sorting-associated protein (DUF946)
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,FBS1,AT1G61340,,,,scRNA-seq,33955487,Differentially expressed gene,F-box family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,SOT12,AT2G03760,,,,scRNA-seq,33955487,Differentially expressed gene,sulfotransferase 12
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G10250,AT3G10250,,,,scRNA-seq,33955487,Differentially expressed gene,histidine-tRNA ligase
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G63220,AT1G63220,,,,scRNA-seq,33955487,Differentially expressed gene,Calcium-dependent lipid-binding (CaLB domain) family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,BRH1,AT3G61460,,,,scRNA-seq,33955487,Differentially expressed gene,brassinosteroid-responsive RING-H2
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G07710,AT5G07710,,,,scRNA-seq,33955487,Differentially expressed gene,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,WRKY21,AT2G30590,,,,scRNA-seq,33955487,Differentially expressed gene,WRKY DNA-binding protein 21
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G23870,AT5G23870,,,,scRNA-seq,33955487,Differentially expressed gene,Pectinacetylesterase family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,WRKY40,AT1G80840,,,,scRNA-seq,33955487,Differentially expressed gene,WRKY DNA-binding protein 40
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G08640,AT3G08640,,,,scRNA-seq,33955487,Differentially expressed gene,alphavirus core family protein (DUF3411)
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G35190,AT1G35190,,,,scRNA-seq,33955487,Differentially expressed gene,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,P4H2,AT3G06300,,,,scRNA-seq,33955487,Differentially expressed gene,P4H 
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G56200,AT3G56200,,,,scRNA-seq,33955487,Differentially expressed gene,Transmembrane amino acid transporter family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G15530,AT3G15530,,,,scRNA-seq,33955487,Differentially expressed gene,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,CSD1,AT1G08830,,,,scRNA-seq,33955487,Differentially expressed gene,copper/zinc superoxide dismutase 1
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,RGLG3,AT5G63970,,,,scRNA-seq,33955487,Differentially expressed gene,Copine (Calcium-dependent phospholipid-binding protein) family
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,TGA4,AT5G10030,,,,scRNA-seq,33955487,Differentially expressed gene,TGACG motif-binding factor 4
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,NF-YB10,AT3G53340,,,,scRNA-seq,33955487,Differentially expressed gene,"nuclear factor Y, subunit B10"
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,BKI1,AT5G42750,,,,scRNA-seq,33955487,Differentially expressed gene,BRI1 kinase inhibitor 1
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT2G14520,AT2G14520,,,,scRNA-seq,33955487,Differentially expressed gene,CBS domain protein (DUF21)
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G48960,AT5G48960,,,,scRNA-seq,33955487,Differentially expressed gene,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase"
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G09035,AT3G09035,,,,scRNA-seq,33955487,Differentially expressed gene,Concanavalin A-like lectin family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,ASP4,AT1G62800,,,,scRNA-seq,33955487,Differentially expressed gene,aspartate aminotransferase 4
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,SMO1-2,AT4G22756,,,,scRNA-seq,33955487,Differentially expressed gene,sterol C4-methyl oxidase 1-2
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,RS40,AT4G25500,,,,scRNA-seq,33955487,Differentially expressed gene,arginine/serine-rich splicing factor 35
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G34060,AT1G34060,,,,scRNA-seq,33955487,Differentially expressed gene,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT4G01335,AT4G01335,,,,scRNA-seq,33955487,Differentially expressed gene,TATA box-binding protein associated factor RNA polymerase I subunit B-like protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G23510,AT5G23510,,,,scRNA-seq,33955487,Differentially expressed gene,hypothetical protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,TCP15,AT1G69690,,,,scRNA-seq,33955487,Differentially expressed gene,TCP family transcription factor
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,LRL1,AT2G24260,,,,scRNA-seq,33955487,Differentially expressed gene,LJRHL1-like 1
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,SFP2,AT5G27360,,,,scRNA-seq,33955487,Differentially expressed gene,Major facilitator superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT4G20860,AT4G20860,,,,scRNA-seq,33955487,Differentially expressed gene,FAD-binding Berberine family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT4G09890,AT4G09890,,,,scRNA-seq,33955487,Differentially expressed gene,"mediator of RNA polymerase II transcription subunit, putative (DUF3511)"
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT3G05190,AT3G05190,,,,scRNA-seq,33955487,Differentially expressed gene,D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,ABCC10,AT3G59140,,,,scRNA-seq,33955487,Differentially expressed gene,multidrug resistance-associated protein 14
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G08770,AT5G08770,,,,scRNA-seq,33955487,Differentially expressed gene,topoisomerase I damage affected-like protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,WAVE2,AT1G29170,,,,scRNA-seq,33955487,Differentially expressed gene,SCAR family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,SCL3,AT1G50420,,,,scRNA-seq,33955487,Differentially expressed gene,scarecrow-like 3
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT1G35710,AT1G35710,,,,scRNA-seq,33955487,Differentially expressed gene,kinase family with leucine-rich repeat domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PSAD-2,AT1G03130,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem I subunit D-2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,FTSH8,AT1G06430,,,,scRNA-seq,33955487,Differentially expressed gene,FTSH protease 8
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PSBP-1,AT1G06680,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem II subunit P-1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,SIG2,AT1G08540,,,,scRNA-seq,33955487,Differentially expressed gene,RNApolymerase sigma subunit 2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,NPQ1,AT1G08550,,,,scRNA-seq,33955487,Differentially expressed gene,non-photochemical quenching 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CRB,AT1G09340,,,,scRNA-seq,33955487,Differentially expressed gene,chloroplast RNA binding protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G11860,AT1G11860,,,,scRNA-seq,33955487,Differentially expressed gene,Glycine cleavage T-protein family
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,ELP,AT1G12090,,,,scRNA-seq,33955487,Differentially expressed gene,extensin-like protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G12800,AT1G12800,,,,scRNA-seq,33955487,Differentially expressed gene,"Nucleic acid-binding, OB-fold-like protein"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GAPA-2,AT1G12900,,,,scRNA-seq,33955487,Differentially expressed gene,glyceraldehyde 3-phosphate dehydrogenase A subunit 2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AVP1,AT1G15690,,,,scRNA-seq,33955487,Differentially expressed gene,Inorganic H pyrophosphatase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LHCB6,AT1G15820,,,,scRNA-seq,33955487,Differentially expressed gene,light harvesting complex photosystem II subunit 6
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,HCF173,AT1G16720,,,,scRNA-seq,33955487,Differentially expressed gene,high chlorophyll fluorescence phenotype 173
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,SPS2,AT1G17050,,,,scRNA-seq,33955487,Differentially expressed gene,solanesyl diphosphate synthase 2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,FUG1,AT1G17220,,,,scRNA-seq,33955487,Differentially expressed gene,"Translation initiation factor 2, small GTP-binding protein"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GGT1,AT1G23310,,,,scRNA-seq,33955487,Differentially expressed gene,glutamate:glyoxylate aminotransferase
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AOR,AT1G23740,,,,scRNA-seq,33955487,Differentially expressed gene,"Oxidoreductase, zinc-binding dehydrogenase family protein"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,BBX15,AT1G25440,,,,scRNA-seq,33955487,Differentially expressed gene,B-box type zinc finger protein with CCT domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CAB3,AT1G29910,,,,scRNA-seq,33955487,Differentially expressed gene,chlorophyll A/B binding protein 3
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CAB2,AT1G29920,,,,scRNA-seq,33955487,Differentially expressed gene,chlorophyll A/B-binding protein 2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PSAF,AT1G31330,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem I subunit F
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PRK,AT1G32060,,,,scRNA-seq,33955487,Differentially expressed gene,phosphoribulokinase
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LrgB,AT1G32080,,,,scRNA-seq,33955487,Differentially expressed gene,membrane protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GBSS1,AT1G32900,,,,scRNA-seq,33955487,Differentially expressed gene,UDP-Glycosyltransferase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,OHP2,AT1G34000,,,,scRNA-seq,33955487,Differentially expressed gene,one-helix protein 2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RPL21C,AT1G35680,,,,scRNA-seq,33955487,Differentially expressed gene,Ribosomal protein L21
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,NIA2,AT1G37130,,,,scRNA-seq,33955487,Differentially expressed gene,nitrate reductase 2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GAPB,AT1G42970,,,,scRNA-seq,33955487,Differentially expressed gene,glyceraldehyde-3-phosphate dehydrogenase B subunit
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,NPQ4,AT1G44575,,,,scRNA-seq,33955487,Differentially expressed gene,Chlorophyll A-B binding family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RD21A,AT1G47128,,,,scRNA-seq,33955487,Differentially expressed gene,Granulin repeat cysteine protease family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,mtLPD1,AT1G48030,,,,scRNA-seq,33955487,Differentially expressed gene,mitochondrial lipoamide dehydrogenase 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,FTSH1,AT1G50250,,,,scRNA-seq,33955487,Differentially expressed gene,FTSH protease 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PSAH2,AT1G52230,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem I subunit H2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G52870,AT1G52870,,,,scRNA-seq,33955487,Differentially expressed gene,Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,TLP18.3,AT1G54780,,,,scRNA-seq,33955487,Differentially expressed gene,thylakoid lumen 18.3 kDa protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,ZKT,AT1G55480,,,,scRNA-seq,33955487,Differentially expressed gene,"protein containing PDZ domain, a K-box domain, and a TPR region"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G55960,AT1G55960,,,,scRNA-seq,33955487,Differentially expressed gene,Polyketide cyclase/dehydrase and lipid transport superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LOS1,AT1G56070,,,,scRNA-seq,33955487,Differentially expressed gene,Ribosomal protein S5/Elongation factor G/III/V family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LHCA3,AT1G61520,,,,scRNA-seq,33955487,Differentially expressed gene,PSI type III chlorophyll a/b-binding protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,SCO1,AT1G62750,,,,scRNA-seq,33955487,Differentially expressed gene,Translation elongation factor EFG/EF2 protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G64680,AT1G64680,,,,scRNA-seq,33955487,Differentially expressed gene,beta-carotene isomerase D27
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CP5,AT1G64720,,,,scRNA-seq,33955487,Differentially expressed gene,Polyketide cyclase/dehydrase and lipid transport superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PnsB2,AT1G64770,,,,scRNA-seq,33955487,Differentially expressed gene,NDH-dependent cyclic electron flow 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RBCS1A,AT1G67090,,,,scRNA-seq,33955487,Differentially expressed gene,ribulose bisphosphate carboxylase small chain 1A
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G67700,AT1G67700,,,,scRNA-seq,33955487,Differentially expressed gene,multidrug resistance protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,HPR,AT1G68010,,,,scRNA-seq,33955487,Differentially expressed gene,hydroxypyruvate reductase
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,BBX14,AT1G68520,,,,scRNA-seq,33955487,Differentially expressed gene,B-box type zinc finger protein with CCT domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G70820,AT1G70820,,,,scRNA-seq,33955487,Differentially expressed gene,"phosphoglucomutase, putative / glucose phosphomutase"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G74470,AT1G74470,,,,scRNA-seq,33955487,Differentially expressed gene,Pyridine nucleotide-disulfide oxidoreductase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,emb2184,AT1G75350,,,,scRNA-seq,33955487,Differentially expressed gene,Ribosomal protein L31
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CDSP32,AT1G76080,,,,scRNA-seq,33955487,Differentially expressed gene,chloroplastic drought-induced stress protein of 32 kD
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G79600,AT1G79600,,,,scRNA-seq,33955487,Differentially expressed gene,Protein kinase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LHCB2.2,AT2G05070,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem II light harvesting complex protein 2.2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LHCB2.1,AT2G05100,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem II light harvesting complex protein 2.1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PSBX,AT2G06520,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem II subunit X
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT2G10940,AT2G10940,,,,scRNA-seq,33955487,Differentially expressed gene,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AGT,AT2G13360,,,,scRNA-seq,33955487,Differentially expressed gene,alanine:glyoxylate aminotransferase
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT2G15020,AT2G15020,,,,scRNA-seq,33955487,Differentially expressed gene,hypothetical protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,NIR1,AT2G15620,,,,scRNA-seq,33955487,Differentially expressed gene,nitrite reductase 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,TIM,AT2G21170,,,,scRNA-seq,33955487,Differentially expressed gene,triosephosphate isomerase
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,FBA1,AT2G21330,,,,scRNA-seq,33955487,Differentially expressed gene,fructose-bisphosphate aldolase 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GPX1,AT2G25080,,,,scRNA-seq,33955487,Differentially expressed gene,glutathione peroxidase 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GLDP2,AT2G26080,,,,scRNA-seq,33955487,Differentially expressed gene,glycine decarboxylase P-protein 2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,THIC,AT2G29630,,,,scRNA-seq,33955487,Differentially expressed gene,thiaminC
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RPT2,AT2G30520,,,,scRNA-seq,33955487,Differentially expressed gene,Phototropic-responsive NPH3 family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,VAR2,AT2G30950,,,,scRNA-seq,33955487,Differentially expressed gene,FtsH extracellular protease family
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT2G35260,AT2G35260,,,,scRNA-seq,33955487,Differentially expressed gene,CAAX protease self-immunity protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT2G37220,AT2G37220,,,,scRNA-seq,33955487,Differentially expressed gene,RNA-binding (RRM/RBD/RNP motifs) family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT2G37660,AT2G37660,,,,scRNA-seq,33955487,Differentially expressed gene,NAD(P)-binding Rossmann-fold superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CAC3,AT2G38040,,,,scRNA-seq,33955487,Differentially expressed gene,acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PDX1.1,AT2G38230,,,,scRNA-seq,33955487,Differentially expressed gene,pyridoxine biosynthesis 1.1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RCA,AT2G39730,,,,scRNA-seq,33955487,Differentially expressed gene,rubisco activase
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT2G42750,AT2G42750,,,,scRNA-seq,33955487,Differentially expressed gene,DNAJ heat shock N-terminal domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CAO,AT2G47450,,,,scRNA-seq,33955487,Differentially expressed gene,chloroplast signal recognition particle component (CAO)
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CYP38,AT3G01480,,,,scRNA-seq,33955487,Differentially expressed gene,cyclophilin 38
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CA1,AT3G01500,,,,scRNA-seq,33955487,Differentially expressed gene,carbonic anhydrase 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,EMB3119,AT3G04790,,,,scRNA-seq,33955487,Differentially expressed gene,"Ribose 5-phosphate isomerase, type A protein"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LHCB4.2,AT3G08940,,,,scRNA-seq,33955487,Differentially expressed gene,light harvesting complex photosystem II
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LYC,AT3G10230,,,,scRNA-seq,33955487,Differentially expressed gene,lycopene cyclase
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PGK1,AT3G12780,,,,scRNA-seq,33955487,Differentially expressed gene,phosphoglycerate kinase 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT3G14067,AT3G14067,,,,scRNA-seq,33955487,Differentially expressed gene,Subtilase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,ESM1,AT3G14210,,,,scRNA-seq,33955487,Differentially expressed gene,GDSL-like lipase/acylhydrolase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GOX2,AT3G14415,,,,scRNA-seq,33955487,Differentially expressed gene,Aldolase-type TIM barrel family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GOX1,AT3G14420,,,,scRNA-seq,33955487,Differentially expressed gene,Aldolase-type TIM barrel family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PREP1,AT3G19170,,,,scRNA-seq,33955487,Differentially expressed gene,presequence protease 1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,ATCAD4,AT3G19450,,,,scRNA-seq,33955487,Differentially expressed gene,GroES-like zinc-binding alcohol dehydrogenase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PSBTN,AT3G21055,,,,scRNA-seq,33955487,Differentially expressed gene,photosystem II subunit T
